Keyword;Search Volume;CPC;Competition;Number of Results;Trends;Related Relevance;Keywords SERP Features;Intent
bible verse for anxiety;4400;0.02;0.46;128;0.81,0.54,0.54,0.66,0.66,0.81,0.81,0.81,0.81,0.81,0.66,0.54;0.05;9,21,36,52;1
bible anxiety and fear;3600;0.02;0.49;121;0.03,0.81,1.00,0.66,0.36,0.54,0.00,0.04,0.43,0.81,0.66,0.54;0.15;9,20,21,36,52;1
bible quotes about anxiety fear;3600;0.02;0.49;162;0.03,0.81,1.00,0.66,0.36,0.54,0.00,0.04,0.43,0.81,0.66,0.54;0.1;9,15,21,36,51,52;1
filip 4 6 7;3600;0;0;128;0.81,0.81,0.81,0.65,0.81,0.65,0.81,0.81,0.81,0.81,1.00,0.81;0.05;9,20,21,36,38,52;1
scripture for comfort;3600;0.01;0.7;123;0.44,0.36,0.24,0.16,0.19,0.36,0.19,0.24,0.24,0.12,0.29,0.16;0.05;6,9,15,21,36,45,51,52;1
anxiety bible verses;2900;0.02;0.46;129;0.15,0.29,0.23,0.23,0.19,0.36,0.19,0.23,0.23,0.23,0.19,0.36;0.1;9,21,36,52;1
be anxious for nothing verse;2900;0.14;0.37;128;1.00,0.81,0.44,0.44,0.44,0.35,0.44,0.53,0.44,0.44,0.35,0.35;0.05;9,21,38,52;1
bible passages on fear and anxiety;2900;0.02;0.49;143;0.03,0.01,1.00,0.66,0.36,0.54,0.00,0.04,0.43,0.81,0.66,0.54;0.05;9,20,21,36,52;1
philipians 4:6;2900;0.44;0.07;133;0.19,0.29,0.23,0.15,0.23,0.13,0.19,0.19,0.23,0.44,0.19,0.15;0.1;9,15,21,36,52;1
scripture anxiety fear;2900;0.02;0.49;123;0.03,0.01,1.00,0.66,0.36,0.54,0.00,0.04,0.43,0.81,0.66,0.54;0.05;9,15,20,21,36,51,52;1
scriptures for anxiety;2900;0.02;0.54;124;0.23,0.44,0.54,0.35,0.44,0.44,0.29,0.44,0.29,0.29,0.29,0.35;0.1;9,13,21,36,52;1
stress and bible verses;2900;0.01;0.29;132;0.00,0.00,0.19,1.00,0.00,0.00,0.00,0.04,0.81,0.66,0.54,0.54;0.5;6,9,14,20,21,36,52;1
verses for anxiety;2900;0.02;0.54;122;0.24,0.24,0.66,0.28,0.28,0.15,0.54,0.54,0.36,0.66,0.66,0.54;0.1;6,9,13,15,20,21,36,51,52;1
bible verse about worry;2400;0.01;0.35;129;0.66,0.19,0.16,0.66,0.16,0.29,0.12,0.16,0.16,0.44,0.12,0.35;0.05;9,21,36,38,45,52;1
bible verses about stress;2400;0.01;0.29;133;0.28,0.36,0.36,0.54,0.43,0.19,0.19,0.24,0.54,0.24,0.28,0.24;0.4;6,9,21,36,52;1
bible verses about worry;2400;0.01;0.35;128;0.23,0.19,0.35,0.35,0.23,0.19,0.16,0.19,0.23,0.44,0.66,0.54;0.1;9,20,21,52;1
bible verses anxiety fear;2400;0.02;0.49;128;0.03,0.01,1.00,0.66,0.36,0.54,0.00,0.04,0.13,0.81,0.66,0.54;0.1;9,21,36,52;1
bible verses for comfort;2400;0.01;0.7;125;0.29,0.13,0.08,0.08,0.08,0.08,0.13,0.10,0.10,0.13,0.10,0.07;0.05;9,20,21,36,45,52;1
do not worry bible verse;2400;0.02;0.14;175;0.80,0.80,0.80,0.66,0.66,0.66,0.52,1.00,0.66,1.00,0.66,0.52;0.1;9,21,36,52;1
phil 4:6;2400;0.1;0.09;20900000;0.36,0.43,0.66,0.15,0.28,0.15,0.19,1.00,0.28,0.43,0.28,0.28;0.05;9,21,36,38,51,52;1
philipians 4 6 7;2400;0.41;0.15;131;0.13,0.24,0.13,0.16,0.19,0.13,0.19,1.00,0.29,0.13,0.24,0.13;0.05;5,9,21,36,38,52;1
verses about anxiety;2400;0.01;0.41;132;0.53,0.44,0.66,0.53,0.35,0.29,0.44,0.44,0.66,0.53,0.44,0.44;0.1;6,9,13,21,36,52;1
what does the bible say about anxiety;2400;0.07;0.37;175;0.65,0.82,1.00,0.82,0.65,0.65,0.82,0.82,0.65,0.82,0.65,0.55;0.05;9,21,36,52;1
anxiety in the bible;1900;0.06;0.39;122;0.36,0.28,0.36,0.28,0.28,0.28,0.28,0.36,0.36,0.28,0.28,0.28;0.05;6,9,13,20,21,36,52;1
bible verses about peace and comfort;1900;0.02;0.78;155;0.41,0.79,1.00,0.79,1.00,1.00,0.79,0.66,1.00,1.00,1.00,1.00;0.05;9,21,36,52;1
bible verses anxiety;1900;0.02;0.46;126;0.13,0.02,0.03,0.81,0.03,0.07,0.07,0.04,0.13,0.16,0.05,1.00;0.1;9,20,21,36,52;1
bible verses of stress;1900;0.01;0.29;9090000;0.10,0.19,0.19,1.00,0.35,0.54,0.00,0.00,0.00,0.00,0.54,0.00;0.45;9,20,21,36,45,52;1
bible verses when anxious;1900;0.02;0.46;124;0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00;0.1;6,9,21,36,52;1
comforting scriptures;1900;0.01;0.7;121;0.66,0.16,0.10,0.44,0.08,0.12,0.19,0.10,0.35,0.08,0.12,0.07;0.05;9,15,21,36,51,52;1
encouraging scripture verses;1900;0.01;0.91;131;0.19,0.28,0.43,0.24,0.28,0.13,0.43,0.66,0.28,0.43,0.36,0.08;0.05;9,21,36,52;1
feeling down bible quotes;1900;0.01;0.17;124;0.00,0.81,0.00,1.00,0.43,0.66,0.00,0.00,0.00,0.00,0.66,0.00;0.05;6,9,21,36,45,52;1
nervousness bible verses;1900;0.01;0.37;5220000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00;0.1;9,20,21,36,52;1
philippians 4 6 and 7;1900;0.02;0.23;132;1.00,1.00,1.00,0.79,1.00,0.54,0.79,0.54,0.54,0.41,0.79,1.00;0.05;5,9,20,21,36,38,52;1
verse for workers;1900;0.01;0.14;123;0.00,0.81,0.00,1.00,0.43,0.66,0.00,0.00,0.00,0.00,0.66,0.00;0.05;1,6,9,20,21,36,38,52;1
verses in the bible about anxiety and fear;1900;0.02;0.49;151;0.03,0.81,1.00,0.66,0.36,0.54,0.00,0.04,0.01,0.03,0.02,0.00;0.1;9,21,36,52;1
