Keyword;Search Volume;CPC;Competition;Number of Results;Trends;Related Relevance;Keywords SERP Features;Intent
bible passages for depression;2400;0.03;0.37;7460000;0.03,0.36,1.00,0.19,0.01,0.02,0.02,0.08,0.03,0.01,0.01,0.01;0.05;9,20,21,36,45,52;1
bible verse about worry;2400;0.01;0.35;129;0.66,0.19,0.16,0.66,0.16,0.29,0.12,0.16,0.16,0.44,0.12,0.35;0.25;9,21,36,38,45,52;1
bible verse for depression;2400;0.03;0.37;7310000;0.81,0.44,0.66,0.29,0.29,0.29,0.29,0.24,1.00,0.24,0.24,0.24;0.05;6,9,13,21,36,45,52;1
bible verses about stress;2400;0.01;0.29;133;0.28,0.36,0.36,0.54,0.43,0.19,0.19,0.24,0.54,0.24,0.28,0.24;0.15;6,9,21,36,52;1
bible verses about worry;2400;0.01;0.35;128;0.23,0.19,0.35,0.35,0.23,0.19,0.16,0.19,0.23,0.44,0.66,0.54;0.5;9,20,21,52;1
bible verses anxiety fear;2400;0.02;0.49;128;0.03,0.01,1.00,0.66,0.36,0.54,0.00,0.04,0.13,0.81,0.66,0.54;0.3;9,21,36,52;1
bible verses on suicidal;2400;0;0;877000;0.03,0.53,1.00,0.81,0.44,0.53,0.00,0.16,0.44,0.44,0.44,0.35;0.05;6,21;1
bible verses suicidal;2400;0;0;873000;0.03,0.53,1.00,0.81,0.44,0.53,0.00,0.16,0.44,0.44,0.44,0.35;0.05;6,21;1
do not worry bible verse;2400;0.02;0.14;175;0.80,0.80,0.80,0.66,0.66,0.66,0.52,1.00,0.66,1.00,0.66,0.52;0.05;9,21,36,52;1
faith over fear bible verse;2400;0.28;0.33;126;0.82,0.82,0.82,1.00,1.00,0.65,0.65,0.82,0.82,0.82,0.65,0.82;0.1;6,9,21,36,52;1
scripture about worry;2400;0.02;0.36;124;0.80,0.66,0.66,0.66,0.52,0.66,0.66,0.66,0.66,0.52,0.24,0.66;0.15;9,15,21,36,38,45,51,52;1
scripture for depression;2400;0.03;0.37;7440000;0.81,1.00,0.44,0.44,0.18,0.24,0.24,0.44,0.44,0.53,0.18,0.29;0.05;9,21,52;1
verses about anxiety;2400;0.01;0.41;132;0.53,0.44,0.66,0.53,0.35,0.29,0.44,0.44,0.66,0.53,0.44,0.44;0.75;6,9,13,21,36,52;1
what does the bible say about anxiety;2400;0.07;0.37;175;0.65,0.82,1.00,0.82,0.65,0.65,0.82,0.82,0.65,0.82,0.65,0.55;0.35;9,21,36,52;1
anxiety in the bible;1900;0.06;0.39;122;0.36,0.28,0.36,0.28,0.28,0.28,0.28,0.36,0.36,0.28,0.28,0.28;0.55;6,9,13,20,21,36,52;1
bible verses anxiety;1900;0.02;0.46;126;0.13,0.02,0.03,0.81,0.03,0.07,0.07,0.04,0.13,0.16,0.05,1.00;0.65;9,20,21,36,52;1
bible verses when anxious;1900;0.02;0.46;124;0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00;0.6;6,9,21,36,52;1
nervousness bible verses;1900;0.01;0.37;5220000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00;0.6;9,20,21,36,52;1
verse for sad;1900;0.01;0.17;123;0.00,0.81,0.00,1.00,0.43,0.66,0.00,0.00,0.00,0.00,0.66,0.00;0.05;6,9,13,21,36,52;1
verses in the bible about anxiety and fear;1900;0.02;0.49;151;0.03,0.81,1.00,0.66,0.36,0.54,0.00,0.04,0.01,0.03,0.02,0.00;0.35;9,21,36,52;1
what does the bible say about worry;1900;0.02;0.28;48500000;1.00,0.66,0.66,0.66,0.27,0.27,0.27,0.66,0.44,0.66,0.52,0.44;0.15;9,21,36,38,45,52;1
bible anxiety scripture;1600;0.02;0.46;127;0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;0.55;6,9,20,21,36,52;1
bible verse about fear;1600;0.02;0.26;126;0.43,0.36,0.36,0.22,0.43,0.36,0.43,0.43,0.43,0.36,0.29,0.22;0.1;9,36,38,52;1
bible verse feeling down;1600;0.01;0.17;128;0.00,1.00,0.00,0.00,0.53,1.00,0.00,0.00,0.00,0.00,0.81,0.00;0.05;9,20,36,45,52;1
bible verses about suicide;1600;0;0;4140000;0.66,0.20,0.66,0.44,0.66,0.20,0.24,0.10,0.52,0.52,0.44,0.36;0.05;6,21;1,0
bible verses for stress;1600;0.01;0.29;131;0.43,0.36,0.36,0.36,0.43,0.22,0.22,0.29,0.36,0.65,0.29,0.29;0.05;9,21,36,52;1
bible verses on anxiety;1600;0.02;0.46;14500000;0.07,0.03,0.07,0.13,0.07,0.07,0.07,0.13,0.13,0.08,0.07,0.05;0.7;6,9,21,36,45,52;1
