Keyword;Search Volume;CPC;Competition;Number of Results;Trends;Related Relevance;Keywords SERP Features;Intent
p r a y s;590;1.95;0;129;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.82,1.00,0.82;0.05;1,9,13,21,36,52;1
pray pray;590;0.72;0.37;389000000;0.00,0.03,0.24,0.08,0.02,0.03,0.44,0.05,0.01,1.00,0.03,0.05;0.1;5,9,36,52;1
christian apps;480;2.02;0.23;116;0.36,0.13,0.67,0.36,0.20,0.45,0.45,0.16,0.67,0.55,0.45,0.36;0.05;6,9,15,21,36,51,52;1
daily prayer christian;480;0.29;0.27;105;0.01,0.00,0.80,0.13,0.08,0.03,0.04,0.03,0.07,0.13,0.10,0.05;0.05;5,9,20,36,52;1
free prayer app;480;1.43;0.37;308000000;0.08,0.07,1.00,0.03,0.01,0.01,0.02,0.03,0.03,0.02,0.03,0.03;0.05;6,9,36,52;1
pray com;480;4.58;0.14;384000000;0.04,0.00,0.04,0.04,0.04,0.02,0.06,0.03,0.03,0.02,0.02,0.02;0.05;6,9,20,36;2
pray com app;480;3.08;0.25;134;0.05,0.05,0.08,0.05,0.01,0.03,0.02,0.04,0.04,0.03,0.03,0.03;0.05;6,9,21,36;1
pray daily;480;0.29;0.27;134;0.20,0.13,0.13,0.07,0.22,0.00,0.07,0.10,0.04,0.08,0.07,0.07;0.05;5,9,20,21,36,52;1
:pray:;390;0;0;119;0.13,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.24;0.05;0,9,13,20,36,38,43,52;1
best christian apps;390;1.88;0.26;263000000;0.44,0.36,0.44,0.44,1.00,0.44,0.36,0.36,0.67,0.36,0.29,0.36;0.05;6,9,36,45,52;0
my prayers;390;0;0;644000000;0.67,0.36,0.44,0.23,0.44,0.29,0.29,0.44,0.67,0.29,0.23,1.00;0.05;5,9,20,36,37,52;1
pray.com;390;4.58;0.14;364000000;0.03,0.05,0.04,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.01;0.05;6,9,20;2
ai pastor;320;0.29;0.01;105;0.02,0.07,0.04,0.07,0.13,0.13,0.07,0.13,0.13,0.13,0.11,0.20;0.05;5,6,9,20,21,36,52;1
america prays;320;0;0.02;7310000;0.00,0.02,0.00,0.11,0.05,0.07,0.11,0.07,1.00,0.03,0.25,0.31;0.05;1,5,9,13,20,36;1
audio prayers;320;0.9;0.17;101;0.54,0.54,0.54,0.44,0.54,0.44,0.66,0.44,0.66,1.00,0.54,0.54;0.05;9,36;1,3
best prayer apps;320;1.63;0.27;28000000;0.54,0.44,0.81,0.44,0.44,0.23,0.36,0.29,0.44,0.29,0.29,0.36;0.05;6,9,20,21,36,45,52;0
bible application for iphone;320;0.9;0.04;153;0.19,0.29,0.67,0.54,0.67,1.00,0.19,0.36,0.00,0.00,0.00,0.00;0.05;9,20,36,52;1
bible sleep stories;320;1.1;0.32;61000000;0.66,0.54,0.81,0.66,0.66,0.54,0.54,0.66,0.81,0.81,1.00,0.43;0.05;5,9,13,20,21,36,45,52;1,3
christian pray;320;0.79;0.57;115;0.03,0.13,0.07,0.03,0.10,0.00,0.05,0.00,0.04,0.04,0.08,0.08;0.05;5,6,9,20,21,36,43,52;1
pray as you go app;320;0.94;0.13;132;0.36,0.23,0.29,0.36,0.19,0.44,0.54,0.54,0.66,0.44,0.54,0.44;0.05;9,21,36;1
pray with me;320;1.33;0.07;473000000;0.54,0.44,0.23,0.23,0.29,0.36,0.54,0.54,0.54,0.36,0.36,0.36;0.05;5,6,9,20,21,36;2
prayer application;320;1.5;0.08;582000000;0.20,0.08,0.03,0.13,0.81,0.30,0.05,0.10,0.08,0.24,0.08,0.05;0.05;5,9,20,21,36;1
prayer generator;320;0.05;0.04;94;0.11,0.11,0.08,0.11,0.11,0.13,0.11,0.08,0.08,0.07,0.08,0.08;0.25;9,13,20,36;1
prayer online;320;1.5;0.61;127;0.21,0.21,0.72,0.26,0.21,0.26,0.26,0.26,0.21,0.26,0.17,0.72;0.05;9,36;1
praying app;320;1.5;0.08;194;0.03,0.35,1.00,0.44,0.35,0.23,0.66,0.28,0.66,0.66,0.66,1.00;0.05;9,21,36,45;1
praying with bible;320;0.33;0.81;162;0.08,0.08,0.07,0.01,0.10,0.04,0.16,0.10,0.04,0.24,0.05,0.07;0.05;5,9,21,36;1
prayying;320;0.72;0.37;534000000;0.00,0.00,0.08,0.24,0.00,0.36,0.00,0.00,0.00,1.00,0.45,0.30;0.05;1,5,6,9,13,20,21,36;1,3
the pray;320;0.18;0;380000000;0.03,0.03,0.08,0.16,0.04,0.08,0.03,0.08,0.03,0.01,0.20,0.01;0.05;1,5,9,10,13,21,36;1,3
