Keyword;Search Volume;CPC;Competition;Number of Results;Trends;Related Relevance;Keywords SERP Features;Intent
scriptures to pray for marriage;390;0.02;0.16;13400000;0.48,0.39,0.48,0.48,0.39,0.48,0.39,0.39,0.39,0.48,0.32,0.32;0.15;6,9,13,21,36,38,52;1
wedding prayers christian;390;0.41;0.91;118;0.04,0.00,0.10,0.04,0.04,0.04,0.06,0.24,1.00,0.62,0.20,0.20;0.05;6,9,20,21,36,45,52;1
couples prayer;320;4.01;0.21;48200000;0.44,0.44,0.54,0.19,0.29,0.44,0.29,0.10,0.44,1.00,0.10,0.23;0.05;6,9,20,21,36,52;1
healing prayer for husband;320;0.07;0.07;177;0.43,0.43,0.54,0.66,0.66,0.54,0.54,0.66,0.66,0.81,0.66,0.66;0.1;6,9,20,21,36,52;1
marital prayers;320;0.04;0.22;16700000;0.24,0.16,0.05,0.08,1.00,0.30,0.16,0.06,0.05,0.08,0.20,0.20;0.2;5,9,13,20,36,45,52;1
prayer for couples;320;4.01;0.21;54600000;0.20,0.20,0.07,0.07,0.16,0.13,0.16,0.07,0.04,0.13,0.13,0.03;0.1;5,9,20,36,45,52;1
prayer for my spouse;320;0.09;0.48;33800000;0.10,0.16,0.10,0.13,1.00,0.10,0.10,0.13,0.24,0.20,0.45,0.16;0.05;6,9,13,20,21,36,45,52;1
prayer for relationship restoration;320;3.1;0.01;105;0.23,0.36,0.44,0.36,0.29,0.23,0.44,0.66,0.66,0.54,0.54,0.29;0.05;5,6,9,11,20,21,36;1
prayer for the couple wedding;320;0.02;1;141;0.15,0.19,0.05,0.12,1.00,0.67,0.15,0.12,0.29,0.67,0.44,0.29;0.05;5,9,20,21,36,52;1
prayer to heal a relationship;320;0.54;0.04;23200000;0.07,0.26,0.39,0.39,0.21,0.26,0.39,0.39,0.39,0.39,0.26,0.21;0.1;5,9,13,20,36,52;1
prayers for husband and marriage;320;0.48;0.27;159;0.54,0.81,0.66,1.00,0.43,0.66,0.81,0.66,0.81,0.54,0.66,0.43;0.2;5,6,9,20,36;1
restoration of marriage in the bible;320;0.07;0.34;141;0.23,0.44,0.36,0.19,0.81,0.66,0.19,0.19,0.54,0.66,0.66,0.66;0.15;9,20,36,52;1
scripture about marriage trouble;320;0.02;0.37;40100000;0.19,0.12,0.05,0.54,0.67,0.67,0.19,0.23,0.54,0.67,0.03,0.15;0.05;9,20,21,36,45,52;1
scripture for marriage problems;320;0.03;0.26;9590000;0.20,0.55,0.24,0.24,0.45,0.20,0.24,0.45,0.30,0.16,0.13,0.13;0.05;9,20,21,36,52;1
scripture for troubled marriage;320;0.02;0.37;170;0.66,0.66,0.36,0.36,0.36,0.29,1.00,0.29,0.29,0.36,0.23,0.19;0.05;9,13,36,52;1
bible scripture for marriage trouble;260;0.03;0.26;35100000;0.00,1.00,0.00,0.00,0.81,0.00,0.02,0.02,0.01,0.00,0.00,0.00;0.05;6,9,13,20,21,36,45,52;1
bible verse for relationship problems;260;0.01;0.07;13300000;0.23,0.23,0.19,0.44,0.81,0.23,0.09,1.00,0.29,0.29,0.44,0.19;0.1;6,9,21,36,45,52;1
bible verse of marriage problems;260;0.03;0.26;8770000;0.00,1.00,0.00,0.00,1.00,0.01,0.03,0.03,0.03,0.01,0.00,0.03;0.05;6,9,13,20,36,45,52;1
bible verses for problems in marriage;260;0.03;0.26;6330000;0.00,1.00,0.00,0.00,0.81,0.00,0.02,0.03,0.02,0.01,0.01,0.00;0.05;6,9,21,36,52;1
catholic prayer for marriage;260;0.93;0.92;34100000;0.82,0.66,0.66,0.66,0.66,0.82,0.53,0.66,0.66,0.82,0.82,0.66;0.15;9,21,36,45,52;1
marriage prayer for troubled marriage;260;0.04;0.2;3630000;0.29,0.22,0.54,0.29,0.66,0.81,0.29,0.29,0.81,1.00,1.00,0.81;0.6;6,9,13,20,21,36,52;1
marriage problems scriptures;260;0.03;0.26;7570000;0.00,1.00,0.00,0.00,0.81,0.01,0.03,0.02,0.02,0.00,0.02,0.00;0.05;6,9,13,20,36,45,52;1
miracle prayer to find a husband;260;0;0.01;145;1.00,0.66,0.81,0.66,0.54,0.43,0.66,0.54,0.43,0.43,0.43,0.35;0.05;5,9,13,20,36,52;1
