Keyword;Search Volume;CPC;Competition;Number of Results;Trends;Related Relevance;Keywords SERP Features;Intent
scripture about anger;720;0.02;0.23;129;0.13,0.31,0.31,0.25,0.31,0.16,0.31,0.37,0.46,0.46,0.31,1.00;0.5;9,20,21,36,45,52;1
verses about bitterness;720;0.01;0.03;144;1.00,0.72,0.72,0.72,0.72,0.59,0.59,0.48,0.39,0.88,0.59,0.48;0.05;9,36,52;1
what the bible says about anger;720;0.02;0.19;157;0.03,0.08,0.36,0.36,0.30,0.36,0.30,0.54,0.54,0.36,0.24,0.24;0.35;9,20,21,36,45,52;1
anger bible verses;590;0.01;0.18;147;0.13,0.04,0.10,0.03,0.05,0.13,0.03,0.08,0.13,0.13,0.08,0.08;0.5;6,9,36,52;1
be slow to anger verse;590;3.81;0;9030000;0.81,0.81,1.00,0.81,0.66,0.44,0.81,0.81,0.66,0.81,0.44,1.00;0.05;9,13,20,21,36,52;1
bible verses about frustration;590;0.02;0.12;2750000;0.54,0.67,0.81,0.81,0.67,0.54,0.67,0.67,0.67,0.81,0.54,0.44;0.15;6,9,21,36,45,52;1
controlling anger;590;1.47;0.35;222000000;0.67,0.55,0.36,0.76,0.55,0.36,0.45,0.36,0.45,0.36,0.45,0.20;0.05;5,6,9,20,36,52;1
how to get rid of anger;590;0.86;0.39;192000000;0.72,0.59,0.72,0.72,0.59,0.59,0.59,0.59,0.59,0.59,0.48,0.48;0.05;5,9,36,45,52;1
scripture about bitterness;590;0.01;0.03;125;0.32,0.72,0.72,0.59,0.72,0.59,0.59,0.48,0.59,0.72,0.48,0.88;0.05;9,21,36,38,45,52;1
scripture on anger;590;0.02;0.23;20200000;0.30,0.36,0.36,0.30,0.55,0.55,0.36,0.45,0.55,0.55,0.45,0.36;0.75;9,20,21,36,52;1
scriptures on bitterness;590;0.01;0.03;6100000;0.16,0.76,0.55,0.55,0.24,0.45,0.55,0.45,0.76,0.55,0.08,0.36;0.1;9,36,38,52;1
scriptures on controlling anger;590;0.03;0.15;6330000;0.20,0.81,0.81,1.00,0.16,0.16,0.04,0.13,0.81,0.05,0.08,0.04;0.4;6,9,20,36,52;1
what do the bible say about anger;590;0.02;0.19;150;0.00,0.00,0.00,1.00,0.66,0.05,0.00,0.00,0.00,0.00,0.03,0.00;0.4;9,20,21,36,45,52;1
anger control bible verses;480;0.03;0.15;128;0.00,0.00,0.81,1.00,0.62,0.62,0.00,0.00,0.00,0.00,0.62,0.00;0.65;6,9,21,36,52;1
anger in scripture;480;0.02;0.23;21700000;0.16,1.00,0.31,0.31,0.20,0.08,0.16,0.25,0.16,0.20,0.03,0.20;0.5;9,15,36,51,52;1
anger scriptures;480;0.02;0.23;16000000;0.08,0.20,0.36,0.45,0.30,0.24,0.36,0.24,0.36,0.30,0.45,0.30;0.5;6,9,20,21,36,45,52;1
angry bible verse;480;0;0;19400000;1.00,0.44,0.66,0.66,0.54,0.54,0.66,0.54,1.00,0.81,0.54,0.01;0.45;6,9,20,36,52;1
bible and anger;480;0.02;0.23;104;0.11,0.20,0.08,0.16,0.24,0.34,0.08,0.24,0.16,0.16,0.13,0.11;0.25;5,9,20,21,36,52;1
bible scriptures on anger;480;0.02;0.16;128;0.37,0.20,0.13,0.20,0.20,0.20,0.25,0.25,0.31,0.25,0.25,0.20;0.6;9,21,36,52;1
bible verse on anger;480;0.01;0.18;19800000;0.13,0.34,0.44,0.05,0.07,0.08,0.08,0.13,0.16,0.30,0.11,0.08;0.8;6,9,36,51,52;1
