Keyword;Search Volume;CPC;Competition;Number of Results;Trends;Related Relevance;Keywords SERP Features;Intent
is anger a sin;1600;0.02;0.02;91600000;0.84,0.68,1.00,0.68,0.68,0.68,0.84,0.84,0.68,0.84,0.84,0.68;0.1;6,9,13,21,36,52;1
anger management course;1300;3.95;0.65;76100000;1.00,0.07,0.05,0.13,0.22,0.36,0.81,0.16,0.54,0.22,0.07,0.08;0.05;1,6,9,15,20,36,52;1
anger management programs online;1300;4.36;0.25;58200000;0.03,1.00,1.00,0.02,0.05,0.10,0.01,0.08,0.02,0.16,0.03,0.08;0.05;6,9,36,45,52;1,2
bible verse about anger;1300;0.01;0.13;23400000;0.29,0.29,0.22,0.22,0.29,0.29,0.10,0.29,0.36,0.29,0.22,0.22;0.05;6,9,36,52;1
free anger management classes online;1000;2.4;0.81;21400000;0.55,0.45,0.62,0.55,0.62,0.55,0.45,0.81,0.62,0.81,0.55,0.81;0.05;6,9,15,36,45,52;1
what does god say about anger;1000;0.02;0.19;204000000;0.44,0.44,0.44,0.30,0.44,0.34,0.24,0.30,0.34,0.24,0.24,0.20;0.1;9,20,36,38,52;1
anger bible verse;880;0.01;0.18;16300000;0.03,0.20,0.20,0.20,0.27,0.20,0.20,0.27,0.66,0.24,0.27,0.24;0.05;9,21,36,45,52;1
what does it say in the bible about anger;880;0.02;0.19;154;0.00,0.00,0.00,1.00,0.66,0.66,0.00,0.00,0.00,0.00,0.66,0.00;0.2;9,21,36,38,52;1
anger angry;720;1.11;0;209000000;0.10,0.02,1.00,0.66,0.07,0.08,0.08,0.03,0.03,0.03,0.20,0.10;0.05;5,6,9,20,21,36;1
anger control classes;720;3.95;0.65;54000000;0.01,0.01,0.29,0.08,0.03,0.01,0.02,0.01,0.01,0.02,0.03,0.02;0.05;6,9,20,36,45,52;1
free anger management classes near me;720;2.66;0.7;195;0.41,0.36,0.30,0.24,0.20,0.24,0.36,0.30,0.30,0.30,0.16,0.30;0.05;3,6,9,21,36,52;1,3
online anger management course;720;4.36;0.25;66500000;0.30,0.24,0.20,0.54,0.20,0.20,0.24,0.24,0.30,0.30,0.30,0.24;0.05;6,9,15,36,45;2
scripture about anger;720;0.02;0.23;129;0.13,0.31,0.31,0.25,0.31,0.16,0.31,0.37,0.46,0.46,0.31,1.00;0.1;9,20,21,36,45,52;1
what the bible says about anger;720;0.02;0.19;157;0.03,0.08,0.36,0.36,0.30,0.36,0.30,0.54,0.54,0.36,0.24,0.24;0.15;9,20,21,36,45,52;1
anger management online classes;590;4.36;0.25;143;0.34,0.08,0.11,0.16,0.20,0.24,0.11,0.34,0.11,0.05,0.65,0.16;0.1;9,36,52;1
anger:hello would you like a cookie;590;0;0;63100000;1.00,0.00,0.00;0.05;5,9,13,21,36;1,3
angry gods;590;0.49;0.1;56400000;0.27,0.16,0.13,0.16,0.13,0.16,0.08,0.00,1.00,0.00,0.00,0.00;0.05;1,5,6,9,13,20,21,36,38;2
online anger management classes free;590;2.4;0.81;147;0.72,0.48,0.72,0.59,0.32,0.88,1.00,0.59,0.48,0.59,0.48,0.59;0.05;9,36,52;1
the anger of god;590;0.4;0;88700000;0.16,1.00,0.20,0.62,0.36,0.45,0.20,0.36,0.04,0.81,0.13,0.30;0.05;9,21,36,45,52;1
what do the bible say about anger;590;0.02;0.19;150;0.00,0.00,0.00,1.00,0.66,0.05,0.00,0.00,0.00,0.00,0.03,0.00;0.15;9,20,21,36,45,52;1
anger in scripture;480;0.02;0.23;21700000;0.16,1.00,0.31,0.31,0.20,0.08,0.16,0.25,0.16,0.20,0.03,0.20;0.05;9,15,36,51,52;1
anger management classes near me free;480;2.66;0.7;14200000;0.05,0.36,0.45,0.55,0.30,0.24,0.30,0.45,0.36,0.30,0.24,0.13;0.05;3,6,52;1,3
anger management course online;480;4.36;0.25;64800000;0.01,0.07,0.07,0.08,0.10,0.04,1.00,0.02,0.24,0.07,0.24,0.13;0.05;9,36,45;1
anger management training online;480;4.36;0.25;67300000;0.20,1.00,0.04,0.03,0.05,0.05,0.01,0.05,0.03,0.04,0.05,0.04;0.05;9,36,45,52;1
anger scriptures;480;0.02;0.23;16000000;0.08,0.20,0.36,0.45,0.30,0.24,0.36,0.24,0.36,0.30,0.45,0.30;0.05;6,9,20,21,36,45,52;1
bible and anger;480;0.02;0.23;104;0.11,0.20,0.08,0.16,0.24,0.34,0.08,0.24,0.16,0.16,0.13,0.11;0.15;5,9,20,21,36,52;1
books on anger management;480;0.75;1;161;0.11,0.20,0.37,0.08,0.52,0.20,0.20,0.25,0.20,0.25,0.13,0.13;0.05;6,9,13,36,45,52;1
control temper bible verse;480;0;0.18;1650000;0.10,0.81,0.81,1.00,0.62,0.01,0.01,0.01,0.01,0.01,0.01,0.01;0.05;6,9,21,36,52;1
course for anger;480;3.23;0.67;205000000;0.66,0.54,0.66,0.54,0.81,0.81,1.00,0.81,0.66,0.66,0.54,0.81;0.05;3,6,9,15,21,36,45;2
scriptures about anger;480;0.02;0.23;14800000;0.44,0.13,0.11,0.20,0.01,0.02,0.20,0.24,0.20,0.24,0.16,0.11;0.05;6,9,21,36,45,52;1
bible verses for anger control;390;0.03;0.15;155;0.01,0.32,1.00,0.48,0.88,0.88,0.05,0.05,0.00,0.05,0.72,0.21;0.05;6,9,20,21,36,52;1
biblical anger;390;0.02;0.16;27800000;1.00,1.00,1.00,0.81,0.66,0.35,0.81,0.81,0.81,0.66,0.66,0.66;0.15;9,21,36,38,45,52;1
controlling anger bible;390;0.03;0.15;19800000;0.13,0.13,0.06,0.02,0.13,0.36,0.08,0.55,1.00,1.00,0.08,0.06;0.15;6,9,20,36,52;1
free online anger management classes;390;2.4;0.81;179;1.00,0.36,0.36,0.29,0.10,0.36,0.54,0.54,0.44,0.54,0.23,0.29;0.05;6,9,21,36,45,52;1
is being angry a sin;390;0.01;0.01;161000000;0.81,0.66,0.81,1.00,0.66,0.66,0.81,0.81,1.00,0.81,0.66,0.81;0.05;6,9,20,36,38,45,52;1
anger management courses for teenagers;320;3.37;0.27;93500000;0.23,0.29,0.15,0.19,0.44,0.54,0.19,0.19,0.66,1.00,1.00,0.66;0.05;5,9,21,36,45,52;1
angry in bible;320;0.02;0.23;61200000;0.30,0.30,0.03,0.10,1.00,0.08,0.03,0.45,0.05,0.36,0.16,0.30;0.05;9,20,21,36,52;1
bible anger;320;0.02;0.16;45400000;0.24,0.13,0.20,0.13,0.08,0.55,0.30,0.16,0.30,0.24,0.24,0.20;0.15;6,9,15,20,21,36,45,51,52;1
bible verses anger;320;0.01;0.18;13200000;0.30,0.10,0.03,0.02,0.30,0.16,0.03,0.20,0.03,0.36,0.02,0.03;0.05;6,9,13,21,36,38,45,52;1
