Keyword;Search Volume;CPC;Competition;Number of Results;Trends;Related Relevance;Keywords SERP Features;Intent
prayer for my boyfriend;590;0;0.01;171;0.36,0.36,0.36,0.36,0.36,0.30,0.36,0.45,0.36,0.30,0.30,0.20;0.05;6,9,21,36,38,52;1
prayer for relationships strengthening;590;1.83;0.01;7840000;0.54,0.67,0.44,0.54,0.44,0.67,0.67,0.81,0.81,0.81,0.54,0.67;0.1;5,9,36,38,43,52;1
prayers for couples;590;4.01;0.21;23900000;0.55,0.36,0.30,0.30,0.13,0.24,0.30,1.00,0.24,0.24,0.45,0.24;0.2;6,9,20,36,52;1
prayers for family healing;590;0.04;0.91;170;0.05,0.04,0.08,0.05,0.03,0.04,0.07,0.07,0.07,0.07,0.12,0.12;0.05;6,9,13,21,36,45,52;1
praying for her love novel;590;0;0;116;0.00,0.00,0.00,0.00,0.44,1.00,0.16,0.04,0.44,0.07,0.05,0.01;0.05;9,36;1
prayer for family healing;480;0.04;0.91;195;0.20,0.24,0.30,0.36,0.30,0.30,0.36,0.36,0.36,0.67,0.30,0.36;0.05;5,6,9,13,20,36,52;1
prayer for hard times;480;0.21;0.51;183000000;0.48,0.59,0.59,0.48,0.48,0.48,0.48,0.59,0.59,0.48,0.48,0.32;0.05;5,9,36,38,52;1
prayer for my husband in difficult times;480;0.02;0.12;137000000;0.36,0.54,0.54,0.81,0.67,0.81,0.81,0.67,0.54,0.44,0.36,0.36;0.05;6,9,20,36,45,52;1
prayer for our marriage;480;0.3;0.42;69;0.48,0.59,0.32,0.59,0.72,0.32,0.59,0.48,0.48,0.72,0.39,0.48;0.05;5,6,9,13,36,52;1
prayers for love;480;0.6;0.19;518000000;0.03,0.20,0.10,0.08,0.10,0.08,0.44,0.08,0.27,0.08,0.10,0.05;0.05;5,9,20,36,52;1
prayers for love and relationships;480;0;0.05;152;0.66,0.81,0.81,0.66,0.66,0.54,0.54,0.44,0.54,0.54,0.44,0.36;0.2;6,9,20,36,52;1
prayers for marriage restoration;480;0.23;0.17;123;0.24,0.20,0.16,0.24,0.16,0.24,0.24,0.41,0.20,0.13,0.10,0.13;0.05;6,9,20,36,38,52;1
prayers for married couples;480;0.28;0.27;2700;0.48,0.48,0.39,0.59,0.59,0.48,0.39,0.39,0.48,0.48,0.48,0.39;0.1;5,6,9,13,21,36,52;1
prayers for relationships;480;0.99;0.02;205;0.30,0.36,0.10,0.13,0.16,0.20,0.24,0.13,0.24,0.13,0.10,0.07;0.2;5,6,9,36,52;1
relationship prayers for couples;480;0.65;0.1;78700000;0.45,0.30,0.36,0.30,0.30,0.24,0.24,0.24,0.24,0.30,0.30,0.24;0.25;6,9,13,20,21,36,45,52;1
scriptures on marriage restoration;480;0.07;0.34;3790000;0.66,0.81,0.66,0.66,0.81,0.54,0.54,0.54,0.36,0.66,0.44,0.54;0.05;6,9,13,20,21,36,45,52;1
marriage prayer for husband;390;0.48;0.27;127;0.20,0.08,0.55,0.45,0.36,0.20,0.16,0.36,0.36,0.20,0.13,0.36;0.05;9,20,21,36,52;1
marriage prayers;390;0.25;1;187000000;0.36,0.24,0.30,0.30,0.36,0.36,0.30,0.20,0.45,0.45,0.30,0.20;0.05;5,9,13,20,36,52;1
pray for a boyfriend;390;0;0;49200000;0.00,0.00,0.00,0.00,1.00,0.67,0.19,0.67,1.00,0.81,0.81,0.54;0.1;6,9,20,21,36,52;1
pray for boyfriend;390;0;0;48800000;0.00,0.00,0.00,0.00,0.67,0.45,0.13,0.45,0.67,0.55,0.55,0.36;0.1;6,9,13,21,36,38,52;1
pray for my boyfriend;390;0;0.01;44800000;0.00,0.00,0.09,0.66,0.81,0.81,0.23,0.23,0.66,0.81,0.66,0.66;0.05;9,13,20,21,36,52;1
prayer for love relationship;390;0;0.05;137000000;0.81,0.81,0.81,0.66,0.66,0.54,0.44,0.54,0.44,0.54,0.36,0.36;0.2;5,9,13,20,36,52;1
prayer for married couples;390;0.28;0.27;17900000;0.45,0.36,0.30,0.20,0.24,0.20,0.30,0.30,0.30,0.36,0.24,0.20;0.1;5,6,9,13,21,36;1
prayer for my relationship;390;3.63;0.03;120000000;0.66,0.66,0.54,0.54,0.54,0.44,0.44,0.81,0.81,0.81,1.00,0.66;0.2;5,6,9,13,36,52;1
prayer for troubled marriage;390;0.04;0.2;5310000;0.39,0.39,0.59,0.48,0.39,0.39,0.39,0.39,0.39,0.32,0.39,0.32;0.15;5,6,9,21,36,52;1
prayer of love;390;0.6;0.19;461000000;0.03,0.36,0.07,0.07,0.03,0.07,0.03,0.07,0.05,0.01,0.07,0.05;0.05;9,21,36,52;1
prayers of st jude;390;2.62;0.66;3620000;0.23,0.28,0.44,0.28,0.54,1.00,0.81,0.81,1.00,0.66,0.81,0.66;0.05;5,9,13,20,21,36,52;1
relationship prayer;390;0.99;0.02;211000000;0.16,0.08,0.16,0.16,0.05,0.05,0.13,0.05,0.16,0.16,0.20,0.30;0.15;5,9,21,36,52;1
scriptures to pray for marriage;390;0.02;0.16;13400000;0.48,0.39,0.48,0.48,0.39,0.48,0.39,0.39,0.39,0.48,0.32,0.32;0.05;6,9,13,21,36,38,52;1
couple praying together;320;0;0.08;42300000;0.81,0.44,0.23,0.36,0.36,0.36,0.10,0.36,0.44,0.44,0.29,0.36;0.05;5,9,13,36,38,45,52;1
couples prayer;320;4.01;0.21;48200000;0.44,0.44,0.54,0.19,0.29,0.44,0.29,0.10,0.44,1.00,0.10,0.23;0.15;6,9,20,21,36,52;1
daily prayer for my husband;320;0.56;0.67;120000000;0.81,0.54,0.66,0.54,0.54,0.54,0.54,0.44,0.44,0.66,0.44,0.44;0.05;5,9,13,21,36,52;1
healing prayer for family member;320;0.27;0.76;73700000;0.08,0.13,0.08,0.07,0.10,0.05,0.05,0.04,0.05,0.07,0.05,0.05;0.05;5,9,13,20,21,36,38,45,52;1
