Keyword;Search Volume;CPC;Competition;Number of Results;Trends;Related Relevance;Keywords SERP Features;Intent
bible verses on arguing;170;0.01;0.01;5000000;0.28,0.23,1.00,1.00,0.00,0.43,0.00,0.28,0.35,0.66,0.00,0.35;0.1;6,9,13,36,52;1
conflict in the bible;170;0;0.02;117;0.65,0.80,0.65,0.65,0.65,0.53,0.65,0.80,0.65,0.80,0.53,0.42;0.45;6,9,20,21,36,38,45,52;1
how to handle conflict in the church biblically;170;0.04;0.07;143;0.80,0.65,0.80,0.65,0.53,0.65,0.65,0.53,0.65,0.53,0.53,0.42;0.3;6,9,20,21,36,45,52;1
verses about arguing;170;0.01;0.01;123;0.66,0.23,0.23,0.35,1.00,0.35,0.28,0.43,0.28,0.28,0.35,0.53;0.05;6,9,20,36,52;1
what does god say about fighting;170;0.01;0.01;475000000;0.29,0.12,0.44,0.15,0.23,0.19,0.10,0.12,0.15,0.23,0.10,0.05;0.05;6,9,13,21,36,52;1
what does the bible say about conflict;170;1.2;0.04;52100000;0.65,0.80,0.80,0.80,0.65,0.65,0.65,0.80,0.80,0.65,0.53,0.53;0.35;6,9,36,52;1
what does the bible say about conflict resolution;170;1.06;0.05;11700000;1.00,0.35,0.35,0.35,0.29,0.29,0.22,0.22,0.35,0.35,0.29,0.22;0.55;9,21,36,52;1
what does the bible say about resolving conflict;170;1.06;0.05;147;1.00,0.28,0.23,0.23,0.23,0.18,0.23,0.18,0.28,0.23,0.23,0.18;0.5;9,21,36,45,52;1
what the bible says about arguing;170;0.01;0.02;131;0.65,0.65,0.43,0.34,0.34,0.65,0.53,0.53,0.81,0.53,0.43,0.81;0.1;6,9,13,21,36,52;1
what the bible says about fighting;170;0.01;0.01;165;0.66,0.11,0.44,0.23,0.35,0.28,0.15,0.18,0.44,0.18,0.15,0.08;0.05;6,9,20,21,36,45,52;1
bible quotes about conflict;140;0.01;0.02;129;0.65,0.26,0.42,0.80,1.00,1.00,0.26,0.42,1.00,0.19,0.11,0.19;0.35;6,9,21,36,52;1
bible verses about conflict with family;140;0.01;0.16;7680000;0.80,0.42,0.42,0.52,0.66,0.66,0.80,0.66,0.66,0.80,1.00,1.00;0.15;6,9,21,36,45,52;1
bible verses about drama;140;0;0;8770000;0.43,0.34,0.43,0.43,0.43,0.34,0.34,0.53,0.43,0.43,0.34,0.34;0.1;9,21,36,45,52;1
biblical conflict;140;0;0.02;117;0.66,0.80,0.52,0.33,0.52,0.33,0.52,0.80,0.52,1.00,0.66,0.52;0.3;9,20,21,36,52;1
biblical conflict resolution verses;140;4.02;0.04;1220000;0.35,0.35,0.28,0.28,1.00,0.66,0.17,0.28,0.35,0.10,0.12,0.23;0.7;9,21,36,52;1
healthy conflict resolution;140;0.67;0.12;76000000;0.53,0.53,0.43,0.43,0.43,0.43,0.43,0.43,0.53,0.43,0.43,0.43;0.05;5,6,9,36,52;1
matthew 18 conflict resolution;140;0;0.01;120;0.15,0.15,0.12,0.15,0.12,0.12,0.19,0.19,0.15,0.19,0.15,0.10;0.05;9,21,36,45,52;1
quarreling in the bible;140;0;0.01;4120000;0.53,0.65,0.53,0.42,0.42,0.53,0.53,0.65,0.80,0.65,0.53,0.53;0.1;9,13,20,36,52;1
scripture about conflict resolution;140;1.5;0.05;2950000;0.52,0.52,0.80,0.80,0.66,0.66,0.66,0.66,0.66,0.80,0.66,0.52;0.75;9,21,36,45,52;1
what does bible say about fighting;140;0.01;0.01;162;0.28,0.15,0.18,0.23,0.44,0.44,0.23,0.18,0.28,0.18,0.15,0.08;0.05;6,9,20,21,36,52;1
what does the bible say about family conflict;140;0.02;0.09;75600000;0.43,0.34,0.34,0.43,0.34,0.34,0.43,0.43,0.43,0.43,0.65,0.65;0.05;6,9,13,21,36,52;1
what the bible says about conflict;140;1.2;0.04;90400000;0.52,1.00,0.80,0.80,0.52,0.52,0.52,0.80,0.42,0.80,0.66,0.66;0.45;9,21,36,52;1
bible on conflict resolution;110;4.01;0.07;123;0.53,0.53,0.42,0.42,0.34,0.80,0.34,0.42,0.53,0.53,0.34,0.34;0.7;9,21,36,52;1
bible verse about arguing;110;0;0.01;5850000;1.00,0.34,0.42,0.42,0.34,0.42,0.42,0.42,0.53,0.42,0.42,0.42;0.1;6,9,20,21,36,52;1
bible verse about conflict;110;0.01;0.02;132;0.64,1.00,0.82,0.64,0.64,0.41,0.52,0.64,0.64,0.64,0.52,0.41;0.4;6,9,20,21,36,45,52;1
bible verses for couples fighting;110;0.02;0.11;40500000;0.52,0.64,0.64,0.82,0.64,0.52,0.52,0.82,0.82,0.52,0.52,0.64;0.05;9,36,45,52;1
biblical way to resolve conflict;110;4.02;0.12;143;1.00,0.28,0.28,0.28,0.28,0.21,0.28,0.28,0.28,0.28,0.28,0.21;0.3;9,15,20,21,36,51,52;1
church conflict resolution;110;3.82;0.1;176;0.10,0.08,0.08,0.06,0.06,0.06,0.06,0.08,0.10,0.10,0.10,0.08;0.05;9,36,52;1
quarrels in the bible;110;0;0.01;223;0.00,0.11,0.52,0.41,0.41,0.82,0.64,0.82,0.82,1.00,0.82,0.82;0.05;9,13,20,21,36,52;1
