Keyword;Search Volume;CPC;Competition;Number of Results;Trends;Related Relevance;Keywords SERP Features;Intent
anger bible verse;880;0.01;0.18;16300000;0.03,0.20,0.20,0.20,0.27,0.20,0.20,0.27,0.66,0.24,0.27,0.24;0.6;9,21,36,45,52;1
bible quotes about anger;880;0.01;0.18;126;0.07,0.05,0.54,0.10,0.24,0.07,0.08,0.07,0.08,0.05,0.01,0.24;0.6;5,6,9,13,36,52;1
bible verses for anger;880;0.01;0.18;149;0.10,0.24,0.30,1.00,0.16,0.36,0.24,0.41,0.54,0.36,0.30,0.41;0.6;9,36,52;1
hate verses in bible;880;0.01;0.01;20700000;0.05,0.01,0.44,0.01,0.44,0.55,0.03,0.24,1.00,0.44,0.07,0.03;0.05;6,9,20,36,52;1
what does it say in the bible about anger;880;0.02;0.19;154;0.00,0.00,0.00,1.00,0.66,0.66,0.00,0.00,0.00,0.00,0.66,0.00;0.45;9,21,36,38,52;1
bible verse for anger;720;0.01;0.18;21700000;0.07,0.08,0.03,0.07,0.20,0.36,0.13,0.65,0.13,0.16,0.08,0.08;0.55;6,9,20,36,52;1
bible verses about controlling anger;720;0.03;0.15;147;0.55,0.45,0.62,0.62,0.45,0.45,0.55,0.36,0.36,0.45,0.45,0.45;0.45;6,9,36,52;1
scripture about anger;720;0.02;0.23;129;0.13,0.31,0.31,0.25,0.31,0.16,0.31,0.37,0.46,0.46,0.31,1.00;0.65;9,20,21,36,45,52;1
what the bible says about anger;720;0.02;0.19;157;0.03,0.08,0.36,0.36,0.30,0.36,0.30,0.54,0.54,0.36,0.24,0.24;0.35;9,20,21,36,45,52;1
anger bible verses;590;0.01;0.18;147;0.13,0.04,0.10,0.03,0.05,0.13,0.03,0.08,0.13,0.13,0.08,0.08;0.65;6,9,36,52;1
be slow to anger verse;590;3.81;0;9030000;0.81,0.81,1.00,0.81,0.66,0.44,0.81,0.81,0.66,0.81,0.44,1.00;0.05;9,13,20,21,36,52;1
bible verses about frustration;590;0.02;0.12;2750000;0.54,0.67,0.81,0.81,0.67,0.54,0.67,0.67,0.67,0.81,0.54,0.44;0.2;6,9,21,36,45,52;1
scripture on anger;590;0.02;0.23;20200000;0.30,0.36,0.36,0.30,0.55,0.55,0.36,0.45,0.55,0.55,0.45,0.36;0.5;9,20,21,36,52;1
scriptures on controlling anger;590;0.03;0.15;6330000;0.20,0.81,0.81,1.00,0.16,0.16,0.04,0.13,0.81,0.05,0.08,0.04;0.3;6,9,20,36,52;1
what do the bible say about anger;590;0.02;0.19;150;0.00,0.00,0.00,1.00,0.66,0.05,0.00,0.00,0.00,0.00,0.03,0.00;0.45;9,20,21,36,45,52;1
anger control bible verses;480;0.03;0.15;128;0.00,0.00,0.81,1.00,0.62,0.62,0.00,0.00,0.00,0.00,0.62,0.00;0.55;6,9,21,36,52;1
anger in scripture;480;0.02;0.23;21700000;0.16,1.00,0.31,0.31,0.20,0.08,0.16,0.25,0.16,0.20,0.03,0.20;0.4;9,15,36,51,52;1
anger scriptures;480;0.02;0.23;16000000;0.08,0.20,0.36,0.45,0.30,0.24,0.36,0.24,0.36,0.30,0.45,0.30;0.4;6,9,20,21,36,45,52;1
angry bible verse;480;0;0;19400000;1.00,0.44,0.66,0.66,0.54,0.54,0.66,0.54,1.00,0.81,0.54,0.01;0.45;6,9,20,36,52;1
bible and anger;480;0.02;0.23;104;0.11,0.20,0.08,0.16,0.24,0.34,0.08,0.24,0.16,0.16,0.13,0.11;0.2;5,9,20,21,36,52;1
bible scriptures on anger;480;0.02;0.16;128;0.37,0.20,0.13,0.20,0.20,0.20,0.25,0.25,0.31,0.25,0.25,0.20;0.7;9,21,36,52;1
bible verse on anger;480;0.01;0.18;19800000;0.13,0.34,0.44,0.05,0.07,0.08,0.08,0.13,0.16,0.30,0.11,0.08;0.6;6,9,36,51,52;1
bible verse slow to anger;480;1.66;0.02;178;0.54,0.66,0.54,0.81,0.54,0.54,0.81,0.66,1.00,0.81,0.54,0.54;0.05;5,9,21,36,45,52;1
bible verses about anger control;480;0.03;0.15;6450000;0.07,0.21,0.88,0.88,0.72,0.88,0.26,0.21,0.21,0.17,0.72,0.14;0.45;6,9,36,52;1
control temper bible verse;480;0;0.18;1650000;0.10,0.81,0.81,1.00,0.62,0.01,0.01,0.01,0.01,0.01,0.01,0.01;0.4;6,9,21,36,52;1
frustration verses in the bible;480;0.02;0.12;153;0.19,0.36,0.67,0.67,0.67,0.67,0.19,0.19,1.00,0.81,0.54,0.54;0.1;6,9,15,20,21,36,45,52;1
quotes from the bible about misbehaving;480;0;0;298000;1.00,0.00,0.00,0.00,0.00,0.00;0.05;9,20,21,36,45,52;1
scriptures about anger;480;0.02;0.23;14800000;0.44,0.13,0.11,0.20,0.01,0.02,0.20,0.24,0.20,0.24,0.16,0.11;0.45;6,9,21,36,45,52;1
slow to anger bible;480;1.63;0.01;10600000;0.13,0.05,0.34,0.04,0.11,0.13,0.08,0.04,0.13,0.03,0.55,0.02;0.05;9,36,52;1
verses on anger;480;0.01;0.21;128;0.15,0.04,0.10,0.15,0.08,0.03,0.03,0.05,0.10,0.04,0.04,0.03;0.6;9,21,45,52;1
anger scripture;390;0.02;0.23;20800000;0.44,0.54,0.54,0.54,0.36,0.44,0.66,0.81,0.66,0.81,0.54,0.44;0.55;6,9,36,52;1
bible verses about resentment;390;0.01;0.03;188;1.00,0.81,0.44,0.66,0.66,0.66,0.66,0.66,0.66,0.54,0.66,0.54;0.15;9,21,36,45,52;1
bible verses controlling anger;390;0.03;0.15;143;0.00,0.00,0.45,1.00,0.62,0.62,0.00,0.00,0.00,0.00,0.06,0.00;0.35;6,9,20,36,38,45,52;1
bible verses for anger control;390;0.03;0.15;155;0.01,0.32,1.00,0.48,0.88,0.88,0.05,0.05,0.00,0.05,0.72,0.21;0.5;6,9,20,21,36,52;1
biblical anger;390;0.02;0.16;27800000;1.00,1.00,1.00,0.81,0.66,0.35,0.81,0.81,0.81,0.66,0.66,0.66;0.15;9,21,36,38,45,52;1
controlling anger bible;390;0.03;0.15;19800000;0.13,0.13,0.06,0.02,0.13,0.36,0.08,0.55,1.00,1.00,0.08,0.06;0.2;6,9,20,36,52;1
scriptures on frustration;390;0.02;0.13;124;0.54,0.36,0.66,0.66,0.54,0.54,0.44,0.36,0.36,0.54,0.44,0.44;0.1;6,9,20,21,36,45,52;1
angry in bible;320;0.02;0.23;61200000;0.30,0.30,0.03,0.10,1.00,0.08,0.03,0.45,0.05,0.36,0.16,0.30;0.35;9,20,21,36,52;1
bible anger;320;0.02;0.16;45400000;0.24,0.13,0.20,0.13,0.08,0.55,0.30,0.16,0.30,0.24,0.24,0.20;0.3;6,9,15,20,21,36,45,51,52;1
